fecha;tratamiento;temp_min;temp_media;temp_max;hr_min;hr_media;hr_max;precipitacion_mm;par;dpv_kpa;horas_frio;hf_acumuladas
2024-02-23;campo;13.49;19.09385416666667;25.31;54.52;76.27979166666667;91.56;;;0.6073632381659881;0.0;0.0
2024-02-23;invernadero;14.13;18.41645833333333;23.72;56.576;77.99175;94.938;;;0.5302265843095992;0.0;0.0
2024-02-24;campo;15.27;19.52791666666667;24.41;60.48;77.98166666666667;92.56;;;0.5436141065715407;0.0;0.0
2024-02-24;invernadero;14.02;16.77425925925926;21.48;67.837;86.08275925925926;95.342;;;0.3740585467627697;0.0;0.0
2024-02-25;campo;15.41;18.30895833333333;21.62;74.21;84.57447916666666;93.19;;;0.3474799730272475;0.0;0.0
2024-02-25;invernadero;14.28;18.46847457627119;23.24;62.535;79.41305000000001;95.558;;;0.453581843431367;0.0;0.0
2024-02-26;campo;17.07;19.5428125;24.26;62.43;78.54270833333334;86.9;;;0.6172334742824426;0.0;0.0
2024-02-26;invernadero;11.98;17.41063157894737;23.37;59.925;81.14455208333334;96.846;;;0.4370856544509576;0.0;0.0
2024-02-27;campo;14.63;18.334375;22.95;66.59;82.74578125000001;91.34;;;0.4562006064368775;0.0;0.0
2024-02-27;invernadero;14.2;17.23744680851064;21.79;64.06;82.94076041666666;95.639;;;0.41577340926223;0.0;0.0
2024-02-28;campo;14.09;18.37458333333333;23.98;64.3;82.71723958333332;92.86;;;0.4717103838569101;0.0;0.0
2024-02-28;invernadero;13.73;17.28645833333333;22.02;66.634;83.90078125000001;96.578;;;0.3766765341845439;0.0;0.0
2024-02-29;campo;15.67;18.61875;23.67;66.76;83.34651041666667;91.47;;;0.478462713185922;0.0;0.0
2024-02-29;invernadero;12.61;16.77208333333333;21.1;68.915;84.62226041666666;96.31;;;0.333839159770277;0.0;0.0
2024-03-01;campo;16.67;17.95072916666667;21.04;75.47;87.69390625;94.8;;;0.3236993473394864;0.0;0.0
2024-03-01;invernadero;12.36;18.31452631578947;24.49;54.792;78.39707291666666;96.953;;;0.5114531995583111;0.0;0.0
2024-03-02;campo;14.56;17.9371875;23.01;67.43;85.8275;95.01;;;0.4071676202001233;0.0;0.0
2024-03-02;invernadero;13.96;18.46354166666667;22.87;62.321;80.30747916666667;95.988;;;0.4416047327246724;0.0;0.0
2024-03-03;campo;13.78;18.18416666666667;23.67;65.72;83.26229166666667;93.65;;;0.4387990763980216;0.0;0.0
2024-03-03;invernadero;12.47;18.109375;23.36;61.187;81.06421875;97.434;;;0.4247521196797656;0.0;0.0
2024-03-04;campo;13.93;18.29947916666667;23.55;65.67;83.25619791666666;95.21;;;0.4228876400979153;0.0;0.0
2024-03-04;invernadero;14.69;17.8246875;22.94;63.817;82.73995833333333;94.154;;;0.4564684910751109;0.0;0.0
2024-03-05;campo;14.11;17.81104166666666;22.96;66.64;83.97729166666666;94.49;;;0.4148304416660955;0.0;0.0
2024-03-05;invernadero;12.79;18.10795698924731;25.29;58.038;82.00646875;97.647;;;0.4881037673189718;0.0;0.0
2024-03-06;campo;15.88;17.09416666666667;19.97;75.9;87.19385416666667;94.15;;;0.3076278364427349;0.0;0.0
2024-03-06;invernadero;13.78;18.57021052631579;24.11;62.933;81.41995312499999;95.181;;;0.4586233789338423;0.0;0.0
2024-03-07;campo;13.74;17.38322916666667;20.32;75.03;84.613125;91.25;;;0.3273227972224459;0.0;0.0
2024-03-07;invernadero;15.13;19.02473684210526;24.86;60.542;80.87977083333332;94.83;;;0.5216026112807539;0.0;0.0
2024-03-08;campo;11.78;17.23333333333333;24.95;49.677;79.86127083333334;95.5;;;0.5788859643228284;0.0;0.0
2024-03-08;invernadero;14.27;20.33694736842105;26.84;53.881;73.7236875;91.732;;;0.6580371249140236;0.0;0.0
2024-03-09;campo;10.2;16.90385416666667;24.31;56.47;80.95760416666667;95.08;;;0.4770545146803515;0.0;0.0
2024-03-09;invernadero;15.22;19.8789247311828;25.39;61.064;77.29313829787235;91.102;;;0.5698930804794238;0.0;0.0
2024-03-10;campo;11.95;16.24072916666666;20.02;71.74;86.24067708333332;94.49;;;0.3067236757236686;0.0;0.0
2024-03-10;invernadero;15.37;22.33336956521739;34.34;40.188;72.42697894736843;93.883;;;1.0352568876410055;0.0;0.0
2024-03-11;campo;9.84;15.57666666666667;22.72;62.17;83.16671875;95.68;;;0.3901112911823343;0.1600000000000001;0.1600000000000001
2024-03-11;invernadero;13.51;19.64404255319149;28.98;48.39;75.78587368421053;94.587;;;0.7198239526333412;0.0;0.0
2024-03-12;campo;9.61;16.6946875;25.28;52.02;79.81218750000001;95.67;;;0.5212832679490562;0.3900000000000005;0.5500000000000007
2024-03-12;invernadero;14.15;17.61393617021277;22.73;65.092;81.68487499999999;91.951;;;0.4557280322082038;0.0;0.0
2024-03-13;campo;12.18;17.25229166666667;24.37;54.68;80.86640625;95.26;;;0.5256172312022114;0.0;0.5500000000000007
2024-03-13;invernadero;13.92;18.79782608695652;24.87;50.306;74.06455072463768;92.933;;;0.6391659109942713;0.0;0.0
2024-03-14;campo;12.01;17.58375;24.67;53.26;78.15645833333333;95.08;;;0.5446328500857962;0.0;0.5500000000000007
2024-03-14;invernadero;13.29;17.544;25.04;48.134;77.76620833333334;93.612;;;0.6466529036298339;0.0;0.0
2024-03-15;campo;12.44;16.54;22.24;61.94;81.9865625;94.41;;;0.432108084686571;0.0;0.5500000000000007
2024-03-15;invernadero;12.57;17.07252631578947;23.11;59.493;79.41103645833333;93.395;;;0.4813235588811115;0.0;0.0
2024-03-16;campo;11.54;15.39520833333333;21.73;60.09;84.02374999999999;95.15;;;0.4237338821529912;0.0;0.5500000000000007
2024-03-16;invernadero;13.9;17.18347368421053;25.61;51.829;80.67188421052631;92.333;;;0.6429892883533952;0.0;0.0
2024-03-17;campo;9.88;15.25333333333333;21.98;62.5;83.87656249999999;96.09;;;0.3747962754507941;0.1199999999999992;0.6699999999999999
2024-03-17;invernadero;13.58;18.62531914893617;27.64;47.396;75.56813541666666;93.015;;;0.7234247131656091;0.0;0.0
2024-03-18;campo;10.67;15.5371875;21.78;64.32;84.5209375;95.88;;;0.3670720856302254;0.0;0.6699999999999999
2024-03-18;invernadero;12.57;18.75895833333333;27.46;49.573;74.31197916666666;92.497;;;0.6779123116669017;0.0;0.0
2024-03-19;campo;11.43;16.47427083333333;23.22;60.09;85.12177083333333;96.18;;;0.4324897977903752;0.0;0.6699999999999999
2024-03-19;invernadero;14.24;18.59231578947368;27.98;52.368;80.81354166666667;94.046;;;0.6708589461458083;0.0;0.0
2024-03-20;campo;14.55;18.51885416666667;25.81;52.92;79.64093749999999;95.46;;;0.6102678666604489;0.0;0.6699999999999999
2024-03-20;invernadero;15.22;20.14894736842106;32.23;44.331;76.93578125;93.748;;;0.908696221305898;0.0;0.0
2024-03-21;campo;11.53;17.89875;25.19;55.39;78.30989583333333;94.47;;;0.5292713728543248;0.0;0.6699999999999999
2024-03-21;invernadero;13.29;19.6309375;31.49;43.812;77.83436458333334;93.721;;;0.8456272403640752;0.0;0.0
2024-03-22;campo;14.19;16.1209375;20.4;74.72;89.57989583333334;96.41;;;0.2849833713303713;0.0;0.6699999999999999
2024-03-22;invernadero;15.29;18.97578947368421;27.06;60.388;80.58911458333334;89.561;;;0.6291072391595189;0.0;0.0
2024-03-23;campo;13.4;16.44010416666667;22.34;66.25;87.60875;95.41;;;0.392444119117121;0.0;0.6699999999999999
2024-03-23;invernadero;15.04;17.71263888888889;23.42;66.393;85.38022972972972;92.388;;;0.4594109551775505;0.0;0.0
2024-03-24;campo;12.34;16.08197916666667;21.94;69.88;89.46848958333334;96.15;;;0.3320547092215047;0.0;0.6699999999999999
2024-03-24;invernadero;15.29;19.12105263157895;30.15;51.544;80.55184210526316;91.924;;;0.7807658413127228;0.0;0.0
2024-03-25;campo;15.16;17.23166666666667;22.97;65.04;86.21859375000001;95.64;;;0.4337624907989283;0.0;0.6699999999999999
2024-03-25;invernadero;15.53;18.57287234042553;26.42;57.541;82.13379166666667;93.286;;;0.6105292353632739;0.0;0.0
2024-03-26;campo;15.08;16.93427083333333;22.78;67.56;85.50932291666668;90.98;;;0.4535341427536523;0.0;0.6699999999999999
2024-03-26;invernadero;13.08;19.17614583333333;26.16;56.544;77.18566666666666;95.181;;;0.5512619107016983;0.0;0.0
2024-03-27;campo;15.07;17.51729166666667;22.67;67.45;84.56927083333333;91.83;;;0.4437736730704109;0.0;0.6699999999999999
2024-03-27;invernadero;15.21;22.03064516129032;35.4;40.09;74.13717708333333;92.661;;;1.0846544004949972;0.0;0.0
2024-03-28;campo;14.69;17.03197916666667;22.59;69.54;87.49739583333333;95.5;;;0.3755619439994784;0.0;0.6699999999999999
2024-03-28;invernadero;14.65;20.0490625;28.43;50.783;76.45943749999999;92.851;;;0.7245011801561998;0.0;0.0
2024-03-29;campo;12.8;16.48479166666667;22.4;69.12;88.60828125;95.56;;;0.3554333794279878;0.0;0.6699999999999999
2024-03-29;invernadero;11.88;18.43872340425532;27.6;47.717;76.12041666666667;95.827;;;0.6495011652414036;0.0;0.0
2024-03-30;campo;12.82;16.35291666666667;22.29;69.28;88.66666666666667;96.05;;;0.3479032363461762;0.0;0.6699999999999999
2024-03-30;invernadero;13.6;18.88479166666667;26.33;52.368;77.981875;95.45;;;0.6087604169930056;0.0;0.0
2024-03-31;campo;11.9;15.90916666666667;21.49;70.89;89.09822916666667;95.08;;;0.3233856533121559;0.0;0.6699999999999999
2024-03-31;invernadero;14.66;18.21833333333333;22.99;64.911;81.547421875;94.479;;;0.4413326527595684;0.0;0.0
2024-04-01;campo;9.92;15.2978125;23.02;58.54;85.20020833333334;96.35;;;0.4225895647025921;0.08;0.75
2024-04-01;invernadero;15.73;19.34715789473684;25.02;56.825;77.73771875;88.177;;;0.6580827420885105;0.0;0.0
2024-04-02;campo;9.5;14.91572916666667;21.38;62.9;85.17375;96.02;;;0.3603247256606765;0.5;1.25
2024-04-02;invernadero;13.07;19.61691489361702;28.13;52.146;77.001890625;95.639;;;0.6335121448830796;0.0;0.0
2024-04-03;campo;8.63;14.9721875;22.22;62.84;85.91213541666667;95.7;;;0.3633079983159069;1.3699999999999992;2.619999999999999
2024-04-03;invernadero;13.18;19.01684210526316;27.45;51.037;78.14721875;95.719;;;0.6347395409085512;0.0;0.0
2024-04-04;campo;10.71;15.12333333333333;21.08;69.98;89.13406250000001;96.41;;;0.3035197688078457;0.0;2.619999999999999
2024-04-04;invernadero;12.67;17.52308510638298;23.29;61.464;80.59297916666667;94.749;;;0.451311536656072;0.0;0.0
2024-04-05;campo;9.52;13.541875;20.2;72.64;92.21479166666668;96.79;;;0.2583220099879839;0.4800000000000004;3.1
2024-04-05;invernadero;13.33;17.93260416666667;29.53;53.85;80.26269791666667;92.77;;;0.6815175531744853;0.0;0.0
2024-04-06;campo;11.47;14.59447916666667;21.16;65.5;89.41854166666667;96.56;;;0.3519304833653633;0.0;3.1
2024-04-06;invernadero;14.04;18.67336842105263;26.82;53.944;79.05653124999999;92.47;;;0.6433672544346916;0.0;0.0
2024-04-07;campo;11.65;13.78583333333333;18.68;74.79;90.79677083333333;96.2;;;0.2500004053718632;0.0;3.1
2024-04-07;invernadero;14.48;18.33336842105263;29.93;47.396;81.58728125;93.259;;;0.7943767832795507;0.0;0.0
2024-04-08;campo;11.99;13.82854166666667;16.16;83.13;90.33515625;94.65;;;0.1784712612275891;0.0;3.1
2024-04-08;invernadero;14.57;18.7365625;28.29;52.683;80.68041666666666;91.76;;;0.7093119277203983;0.0;0.0
2024-04-09;campo;10.25;14.11427083333333;19.95;71.47;88.97635416666667;95.05;;;0.2873180626493048;0.0;3.1
2024-04-09;invernadero;14.22;18.40778947368421;27.68;52.999;80.21309375;91.978;;;0.6821139391241917;0.0;0.0
2024-04-10;campo;12.14;13.58416666666667;16.36;83.49;91.96973958333332;95.57;;;0.1701087266305143;0.0;3.1
2024-04-10;invernadero;14.89;18.7365625;26.58;49.987;76.47494791666666;91.02;;;0.7217233145759261;0.0;0.0
2024-04-11;campo;12.5;13.06145833333333;14.3;86.74;92.0903125;95.28;;;0.1382135000230593;0.0;3.1
2024-04-11;invernadero;11.98;17.99326315789473;25.45;55.325;77.66394791666667;94.857;;;0.5376920747280249;0.0;0.0
2024-04-12;campo;10.56;14.29989583333333;20.68;66.83;86.29083333333334;93.22;;;0.3544803511859089;0.0;3.1
2024-04-12;invernadero;12.96;17.4515625;25.98;62.107;82.7308125;93.096;;;0.506801305904568;0.0;0.0
2024-04-13;campo;10.44;14.85520833333333;22.23;53.47;82.25958333333334;95.22;;;0.4765571063099409;0.0;3.1
2024-04-13;invernadero;14.88;17.94463157894737;24.26;64.273;83.19500000000001;93.259;;;0.4834472205718394;0.0;0.0
2024-04-14;campo;12.91;15.6446875;22.86;55.58;81.18781249999999;90.32;;;0.5542848127531916;0.0;3.1
2024-04-14;invernadero;16.01;19.4225;28.21;56.326;80.73813020833333;92.142;;;0.6858161684475419;0.0;0.0
2024-04-15;campo;8.95;14.7075;24.13;49.213;80.6251875;93.88;;;0.5354830177548555;1.0500000000000007;4.15
2024-04-15;invernadero;14.67;19.26702127659575;27.08;54.855;78.42738541666667;90.69;;;0.6719676143886721;0.0;0.0
2024-04-16;campo;7.06;15.546875;26.9;38.655;72.76774999999999;93.99;;;0.6517521570683391;2.9400000000000004;7.090000000000001
2024-04-16;invernadero;12.2;16.95315789473684;25.34;59.431;83.53796842105262;95.396;;;0.4892371902701029;0.0;0.0
2024-04-17;campo;7.85;15.63166666666667;26.58;43.731;74.08658333333334;92.85;;;0.6228662025008811;2.1500000000000004;9.240000000000002
2024-04-17;invernadero;14.4;16.536;20.24;74.861;87.945875;93.992;;;0.3079465553560896;0.0;0.0
2024-04-18;campo;8.14;13.29685393258427;20.75;68.46;87.2332584269663;95.06;;;0.3001133342635522;1.86;11.1
2024-04-18;invernadero;15.27;16.89315789473684;20.52;74.919;86.42075;92.661;;;0.33237016241016;0.0;0.0
2024-04-19;campo;9.01;13.299375;18.6;74.4;90.87416666666668;96.25;;;0.2316430412805932;0.9900000000000002;12.090000000000002
2024-04-19;invernadero;14.55;16.77478723404255;21.79;70.347;86.37903125000001;95.181;;;0.3595696225417668;0.0;0.0
2024-04-20;campo;9.46;14.0965625;17.29;80.15;90.91463541666668;96.13;;;0.1820402555296427;0.5399999999999991;12.63
2024-04-20;invernadero;13.39;17.87340425531915;29.37;42.999;76.39990625;89.478;;;0.8594498971073137;0.0;0.0
2024-04-21;campo;11.89;16.04520833333333;20.68;65.41;82.36760416666667;93.79;;;0.3777369723096515;0.0;12.63
2024-04-21;invernadero;9.64;17.4371875;29.57;49.828;78.20516666666667;96.203;;;0.615709134015914;0.3599999999999994;0.3599999999999994
2024-04-22;campo;10.65;16.9771875;24.53;55.07;79.0196875;94.5;;;0.5071688205751366;0.0;12.63
2024-04-22;invernadero;12.97;18.84354838709677;29.12;45.044;78.56592708333334;94.317;;;0.7561343836853156;0.0;0.3599999999999994
2024-04-23;campo;9.87;13.35729166666667;17.15;85.2;93.46473958333333;96.33;;;0.1430017358616713;0.1300000000000007;12.760000000000002
2024-04-23;invernadero;11.09;18.13851063829787;29.66;48.07;75.91364210526316;95.235;;;0.678388324351942;0.0;0.3599999999999994
2024-04-24;campo;8.81;13.78114583333333;20.04;71.4;89.27354166666667;96.43;;;0.2643137805894444;1.1899999999999995;13.95
